Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Start Date,Winner,Series,Team,Opposition,Venue
JJ Bumrah,4,4,34.5,4,128,8,16,3.67,26.1,0,0,19-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
B Kumar,3,3,28,1,139,8,17.37,4.96,21,1,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
Kuldeep Yadav,4,4,29,1,125,8,15.62,4.31,21.7,2,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
RA Jadeja,4,4,40,3,158,7,22.57,3.95,34.2,1,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
R Ashwin,4,4,39.1,2,174,7,24.85,4.44,33.5,0,0,27-Aug-14,India,"India in England ODI Series, 2014",India,England,AWAY
RA Jadeja,4,4,36,0,172,7,24.57,4.77,30.8,1,0,27-Aug-14,India,"India in England ODI Series, 2014",India,England,AWAY
B Kumar,5,5,48.4,1,347,7,49.57,7.13,41.7,0,0,11-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
UT Yadav,5,5,47.5,1,345,7,49.28,7.21,41,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
B Kumar,5,5,42.3,4,197,7,28.14,4.63,36.4,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
UT Yadav,5,4,33,2,157,7,22.42,4.75,28.2,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
Kuldeep Yadav,4,4,34,2,210,7,30,6.17,29.1,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
RA Jadeja,4,4,35,1,156,7,22.28,4.45,30,1,0,21-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KK Ahmed,4,4,32,1,171,7,24.42,5.34,27.4,0,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
RA Jadeja,4,4,39.5,2,188,7,26.85,4.71,34.1,1,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
B Kumar,5,5,34.1,3,171,7,24.42,5,29.2,0,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
STR Binny,2,1,4.4,2,4,6,0.66,0.85,4.6,0,1,17-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
RA Jadeja,3,3,28,1,182,6,30.33,6.5,28,0,0,08-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
R Ashwin,4,4,39,2,200,6,33.33,5.12,39,0,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
R Ashwin,3,3,30,3,118,6,19.66,3.93,30,0,0,18-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
STR Binny,3,3,27,1,151,6,25.16,5.59,27,0,0,10-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
Harbhajan Singh,4,4,40,0,212,6,35.33,5.3,40,0,0,14-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
YS Chahal,3,3,24,3,77,6,12.83,3.2,24,0,0,11-Jun-16,India,"India in Zimbabwe ODI Series, 2016",India,Zimbabwe,AWAY
JJ Bumrah,4,4,32.4,1,132,6,22,4.04,32.6,0,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
KM Jadhav,5,4,18,0,73,6,12.16,4.05,18,0,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
HH Pandya,5,4,31,0,131,6,21.83,4.22,31,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
AR Patel,4,4,40,1,154,6,25.66,3.85,40,0,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
YS Chahal,4,4,33,1,172,6,28.66,5.21,33,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
HH Pandya,5,5,31,0,188,6,31.33,6.06,31,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
JJ Bumrah,3,3,29,2,141,6,23.5,4.86,29,0,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
YS Chahal,3,2,20,3,106,6,17.66,5.3,20,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
YS Chahal,5,5,44,1,197,6,32.83,4.47,44,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KM Jadhav,6,5,35,1,139,6,23.16,3.97,35,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
B Kumar,5,5,42,2,176,6,29.33,4.19,42,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
JJ Bumrah,3,3,24,3,71,6,11.83,2.95,24,1,0,27-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
YS Chahal,1,1,10,0,42,6,7,4.2,10,0,1,18-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
B Kumar,4,4,31,3,134,5,26.8,4.32,37.2,0,0,27-Aug-14,India,"India in England ODI Series, 2014",India,England,AWAY
B Kumar,3,3,26,5,80,5,16,3.07,31.2,1,0,10-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
AR Patel,3,3,26.4,2,120,5,24,4.5,32,0,0,10-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
AR Patel,4,4,37,0,195,5,39,5.27,44.4,0,0,14-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
MM Sharma,4,4,31,0,215,5,43,6.93,37.2,0,0,14-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
DS Kulkarni,3,3,25.2,3,90,5,18,3.55,30.4,0,0,11-Jun-16,India,"India in Zimbabwe ODI Series, 2016",India,Zimbabwe,AWAY
JJ Bumrah,3,3,29,1,228,5,45.6,7.86,34.8,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
HH Pandya,3,3,25,1,155,5,31,6.2,30,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
YS Chahal,4,4,40,1,188,5,37.6,4.7,48,0,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
B Kumar,4,4,34.4,2,169,5,33.8,4.87,41.6,0,1,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
JJ Bumrah,4,4,31,3,162,5,32.4,5.22,37.2,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
B Kumar,4,4,28.1,2,126,5,25.2,4.47,33.8,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
B Kumar,3,3,30,0,193,5,38.6,6.43,36,0,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
YS Chahal,3,3,30,1,160,5,32,5.33,36,0,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
Mohammed Shami,3,3,29.4,0,151,5,30.2,5.08,35.6,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
MM Sharma,3,2,13.4,3,45,4,11.25,3.29,20.5,1,0,15-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
SK Raina,4,4,25,0,117,4,29.25,4.68,37.5,0,0,27-Aug-14,India,"India in England ODI Series, 2014",India,England,AWAY
I Sharma,3,3,22,2,106,4,26.5,4.81,33,1,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
STR Binny,3,2,15,0,67,4,16.75,4.46,22.5,0,0,20-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
Harbhajan Singh,3,3,30,0,110,4,27.5,3.66,45,0,0,10-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
A Mishra,4,4,40,1,218,4,54.5,5.45,60,0,0,11-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
BB Sran,3,3,24,1,99,4,24.75,4.12,36,0,0,11-Jun-16,India,"India in Zimbabwe ODI Series, 2016",India,Zimbabwe,AWAY
HH Pandya,4,4,26,0,141,4,35.25,5.42,39,0,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
AR Patel,5,5,43.1,1,186,4,46.5,4.3,64.7,0,0,16-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
RA Jadeja,3,3,30,0,157,4,39.25,5.23,45,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
JJ Bumrah,5,5,42,1,210,4,52.5,5,63,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
RA Jadeja,5,5,42,0,249,4,62.25,5.92,63,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
HH Pandya,5,5,39,1,233,4,58.25,5.97,58.5,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
R Ashwin,3,2,19,1,75,4,18.75,3.94,28.5,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
Mohammed Shami,2,2,20,2,81,4,20.25,4.05,30,1,0,02-Jul-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
HH Pandya,4,4,27.2,0,151,4,37.75,5.52,41,0,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
UT Yadav,1,1,10,0,71,4,17.75,7.1,15,1,0,28-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
YS Chahal,3,3,28,1,134,4,33.5,4.78,42,0,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
JJ Bumrah,3,3,25,2,114,4,28.5,4.56,37.5,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
HH Pandya,3,3,25,1,127,4,31.75,5.08,37.5,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
HH Pandya,6,6,44,0,216,4,54,4.9,66,0,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
SN Thakur,1,1,8.5,0,52,4,13,5.88,13.2,1,0,16-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
KK Ahmed,2,2,20,1,93,4,23.25,4.65,30,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
HH Pandya,3,3,21,1,110,4,27.5,5.23,31.5,0,0,28-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
B Kumar,4,4,35.2,3,167,3,55.66,4.72,70.6,0,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
A Mishra,2,2,20,1,49,3,16.33,2.45,40,0,0,02-Mar-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
UT Yadav,3,2,14,0,80,3,26.66,5.71,28,0,0,15-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
A Mishra,2,2,20,2,112,3,37.33,5.6,40,0,0,08-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
UT Yadav,2,2,18,0,86,3,28.66,4.77,36,0,0,11-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
STR Binny,2,2,16,1,83,3,27.66,5.18,32,0,0,13-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
DS Kulkarni,2,2,15,0,76,3,25.33,5.06,30,0,0,21-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
SK Raina,3,3,20,0,99,3,33,4.95,40,0,0,18-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
UT Yadav,2,2,18,0,123,3,41,6.83,36,0,0,11-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
RA Jadeja,5,5,48,0,257,3,85.66,5.35,96,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
BB Sran,3,3,26.2,1,170,3,56.66,6.45,52.6,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
AR Patel,3,3,27.3,3,64,3,21.33,2.32,55,0,0,11-Jun-16,India,"India in Zimbabwe ODI Series, 2016",India,Zimbabwe,AWAY
R Ashwin,3,3,27,0,188,3,62.66,6.96,54,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
KM Jadhav,5,3,12,0,67,3,22.33,5.58,24,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
UT Yadav,2,2,17.2,1,97,3,32.33,5.59,34.6,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
KM Jadhav,4,4,16.4,0,90,3,30,5.4,33.3,0,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
Kuldeep Yadav,2,2,18.4,1,71,3,23.66,3.8,37.3,0,0,31-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
AR Patel,2,2,20,0,104,3,34.66,5.2,40,0,0,28-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
Kuldeep Yadav,2,1,10,0,42,3,14,4.2,20,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
B Kumar,3,3,24.3,1,117,3,39,4.77,49,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
UT Yadav,2,2,19.5,0,133,3,44.33,6.7,39.6,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
B Kumar,3,3,19,2,111,3,37,5.84,38,0,0,27-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
Mohammed Shami,2,2,20,0,140,3,46.66,7,40,0,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
KM Jadhav,5,4,19,0,103,3,34.33,5.42,38,0,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
A Mishra,2,1,10,0,55,2,27.5,5.5,30,0,0,15-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
Parvez Rasool,1,1,10,0,60,2,30,6,30,0,0,15-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
B Kumar,3,3,27,3,95,2,47.5,3.51,81,0,0,08-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
AR Patel,1,1,10,1,26,2,13,2.6,30,0,0,17-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
Mohammed Shami,4,3,21.1,0,98,2,49,4.62,63.5,0,0,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
AR Patel,4,3,27.3,1,116,2,58,4.21,82.5,0,0,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
MM Sharma,1,1,10,1,36,2,18,3.6,30,0,0,30-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
UT Yadav,2,2,16,1,97,2,48.5,6.06,48,0,0,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
B Kumar,2,2,12,0,69,2,34.5,5.75,36,0,0,18-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
AR Patel,2,2,16,1,92,2,46,5.75,48,0,0,21-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
UT Yadav,2,2,12,0,91,2,45.5,7.58,36,0,0,18-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
DS Kulkarni,2,2,18,1,99,2,49.5,5.5,54,0,0,10-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
MM Sharma,1,1,7,0,33,2,16.5,4.71,21,0,0,14-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
R Ashwin,2,2,19,0,128,2,64,6.73,57,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
JJ Bumrah,1,1,10,0,40,2,20,4,30,0,0,23-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
KM Jadhav,5,2,4.1,0,13,2,6.5,3.12,12.5,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
B Kumar,3,2,10,1,28,2,14,2.8,30,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
KM Jadhav,5,2,17,0,86,2,43,5.05,51,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
HH Pandya,3,3,19,0,116,2,58,6.1,57,0,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
B Kumar,5,5,33,2,201,2,100.5,6.09,99,0,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
YS Chahal,3,3,30,0,135,2,67.5,4.5,90,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
RA Jadeja,3,3,29,1,150,2,75,5.17,87,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
Kuldeep Yadav,2,2,20,0,120,2,60,6,60,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
VR Aaron,1,1,7.5,0,74,1,74,9.44,47,0,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
AR Patel,3,1,10,0,59,1,59,5.9,60,0,0,15-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
SK Raina,3,1,5,0,24,1,24,4.8,30,0,0,15-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
AT Rayudu,3,1,2,0,8,1,8,4,12,0,0,30-Aug-14,India,"India in England ODI Series, 2014",India,England,AWAY
UT Yadav,1,1,6,0,46,1,46,7.66,36,0,0,05-Sep-14,India,"India in England ODI Series, 2014",India,England,AWAY
RA Jadeja,1,1,10,0,64,1,64,6.4,60,0,0,06-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
SK Raina,4,3,9,0,42,1,42,4.66,54,0,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
AT Rayudu,5,2,7,0,49,1,49,7,42,0,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
R Ashwin,1,1,9,0,54,1,54,6,54,0,0,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
B Kumar,2,2,11.5,0,62,1,62,5.23,71,0,0,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
B Kumar,1,1,5,0,19,1,19,3.8,30,0,0,28-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
SK Raina,8,4,15,1,64,1,64,4.26,90,0,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
STR Binny,1,1,6,0,41,1,41,6.83,36,0,0,24-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
RA Jadeja,2,2,15,0,76,1,76,5.06,90,0,0,18-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
AT Rayudu,2,1,2,1,5,1,5,2.5,12,0,0,21-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
MM Sharma,1,1,4.4,0,53,1,53,11.35,28,0,0,18-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
M Vijay,3,2,6,0,37,1,37,6.16,36,0,0,10-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
R Ashwin,1,1,4.4,0,14,1,14,3,28,0,0,11-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
SK Raina,5,4,14,0,87,1,87,6.21,84,0,0,11-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
R Dhawan,3,3,25,0,160,1,160,6.4,150,0,0,17-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
DS Kulkarni,1,1,7,0,59,1,59,8.42,42,0,0,26-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
J Yadav,1,1,4,0,8,1,8,2,24,0,0,29-Oct-16,India,"New Zealand in India ODI Series, 2016/17",India,New Zealand,HOME
B Kumar,2,2,18,1,119,1,119,6.61,108,0,0,19-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
UT Yadav,1,1,7,0,63,1,63,9,42,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
R Ashwin,3,3,29,0,167,1,167,5.75,174,0,0,11-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
SN Thakur,2,2,13,0,74,1,74,5.69,78,0,0,31-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
Kuldeep Yadav,1,1,10,0,64,1,64,6.4,60,0,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
